epoch,lr,step,train_loss,train_triplet_violation,val_loss,val_triplet_violation
0,,155,,,0.011810163035988808,0.10468749701976776
0,9.999999747378752e-05,155,0.17284907400608063,0.7716346383094788,,
1,,311,,,0.0011465626303106546,0.01406249962747097
1,9.999999747378752e-05,311,0.01846054568886757,0.16706730425357819,,
2,,467,,,0.0009031321969814599,0.02187499962747097
2,9.999999747378752e-05,467,0.006845133379101753,0.06690704822540283,,
3,,623,,,0.0015097002033144236,0.012500000186264515
3,9.999999747378752e-05,623,0.004233464132994413,0.04326923191547394,,
4,,779,,,0.0,0.0
4,9.999999747378752e-05,779,0.003110076766461134,0.03445512801408768,,
5,,935,,,0.0018507394706830382,0.00937500037252903
5,9.999999747378752e-05,935,0.0027065256144851446,0.028445512056350708,,
6,,1091,,,0.0008392015588469803,0.0078125
6,9.999999747378752e-05,1091,0.0019892724230885506,0.022435897961258888,,
7,,1247,,,0.00044330907985568047,0.012500000186264515
7,9.999999747378752e-05,1247,0.0018812409834936261,0.023637820035219193,,
8,,1403,,,0.0002805892436299473,0.00937500037252903
8,9.999999747378752e-05,1403,0.0009600247140042484,0.016826923936605453,,
9,,1559,,,1.862831368271145e-06,0.0015625000232830644
9,4.999999873689376e-05,1559,0.0011771891731768847,0.016025641933083534,,
