epoch,lr,step,train_loss,train_triplet_violation,val_loss,val_triplet_violation
0,,155,,,0.368136465549469,0.921875
0,0.0010000000474974513,155,0.34519731998443604,0.9366987347602844,,
1,,311,,,0.1773262321949005,0.6640625
1,0.0010000000474974513,311,0.2210998833179474,0.7536057829856873,,
2,,467,,,0.10009162127971649,0.3843750059604645
2,0.0010000000474974513,467,0.1193082258105278,0.5168269276618958,,
3,,623,,,0.06317855417728424,0.27656251192092896
3,0.0010000000474974513,623,0.0468166321516037,0.25080129504203796,,
4,,779,,,0.05069201439619064,0.17812499403953552
4,0.0010000000474974513,779,0.03813634067773819,0.21394230425357819,,
5,,935,,,0.03991365060210228,0.18593749403953552
5,0.0010000000474974513,935,0.03743781894445419,0.21714743971824646,,
6,,1091,,,0.038191188126802444,0.16718749701976776
6,0.0010000000474974513,1091,0.025823397561907768,0.15184295177459717,,
7,,1247,,,0.02134011685848236,0.10312499850988388
7,0.0010000000474974513,1247,0.019230110570788383,0.1145833358168602,,
8,,1403,,,0.0297187902033329,0.13593749701976776
8,0.0010000000474974513,1403,0.012273170985281467,0.08774038404226303,,
9,,1559,,,0.03693775832653046,0.18125000596046448
9,0.0010000000474974513,1559,0.017392534762620926,0.11939102411270142,,
10,,1715,,,0.041880231350660324,0.16718749701976776
10,0.0010000000474974513,1715,0.013282771222293377,0.08573717623949051,,
11,,1871,,,0.03778115659952164,0.13906249403953552
11,0.0010000000474974513,1871,0.01307334192097187,0.08613782376050949,,
12,,2027,,,0.03525116667151451,0.12968750298023224
12,0.0005000000237487257,2027,0.00628475658595562,0.05008012801408768,,
