epoch,lr,step,train_loss,train_triplet_violation,val_loss,val_triplet_violation
0,,155,,,0.078481025993824,0.875
0,9.999999747378752e-05,155,0.11695623397827148,0.9875801205635071,,
1,,311,,,0.09216801822185516,0.7749999761581421
1,9.999999747378752e-05,311,0.10132648050785065,0.9362980723381042,,
2,,467,,,0.04607389122247696,0.42500001192092896
2,9.999999747378752e-05,467,0.07445680350065231,0.7886618375778198,,
3,,623,,,0.028860783204436302,0.42500001192092896
3,9.999999747378752e-05,623,0.05849327892065048,0.6797876358032227,,
4,,779,,,0.01919504627585411,0.20000000298023224
4,9.999999747378752e-05,779,0.05040906369686127,0.5324519276618958,,
5,,935,,,0.027092313393950462,0.17499999701976776
5,9.999999747378752e-05,935,0.03375210985541344,0.3528645932674408,,
6,,1091,,,0.03914346545934677,0.4000000059604645
6,9.999999747378752e-05,1091,0.03662658482789993,0.45522835850715637,,
7,,1247,,,0.010375932790338993,0.125
7,9.999999747378752e-05,1247,0.02730323188006878,0.35256409645080566,,
8,,1403,,,0.020688991993665695,0.22499999403953552
8,9.999999747378752e-05,1403,0.02895807847380638,0.3205128312110901,,
9,,1559,,,0.009730753488838673,0.22499999403953552
9,9.999999747378752e-05,1559,0.0264409352093935,0.28856170177459717,,
10,,1715,,,0.0006622821092605591,0.02500000037252903
10,9.999999747378752e-05,1715,0.018969561904668808,0.19260817766189575,,
11,,1871,,,0.0033119493164122105,0.05000000074505806
11,9.999999747378752e-05,1871,0.013675454072654247,0.14743590354919434,,
12,,2027,,,0.007511934731155634,0.25
12,9.999999747378752e-05,2027,0.008875475265085697,0.12820513546466827,,
13,,2183,,,0.01126287691295147,0.07500000298023224
13,9.999999747378752e-05,2183,0.009215107187628746,0.13471554219722748,,
14,,2339,,,0.009984261356294155,0.20000000298023224
14,9.999999747378752e-05,2339,0.01064213551580906,0.14102564752101898,,
15,,2495,,,0.00019649714522529393,0.02500000037252903
15,4.999999873689376e-05,2495,0.014454633928835392,0.1538461595773697,,
16,,2651,,,0.002369371708482504,0.07500000298023224
16,4.999999873689376e-05,2651,0.00370520050637424,0.05128205195069313,,
17,,2807,,,0.0,0.0
17,4.999999873689376e-05,2807,0.004395277239382267,0.05128205195069313,,
18,,2963,,,0.0,0.0
18,4.999999873689376e-05,2963,0.001986156217753887,0.044971954077482224,,
19,,3119,,,0.004633722826838493,0.07500000298023224
19,4.999999873689376e-05,3119,0.002324624452739954,0.044871795922517776,,
20,,3275,,,0.0077854422852396965,0.15000000596046448
20,4.999999873689376e-05,3275,0.001713188597932458,0.025641025975346565,,
21,,3431,,,0.004888074938207865,0.10000000149011612
21,4.999999873689376e-05,3431,0.003387091215699911,0.03846153989434242,,
22,,3587,,,0.0013247777242213488,0.02500000037252903
22,2.499999936844688e-05,3587,0.0008735249866731465,0.025641025975346565,,
