epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_loss
0,,155,,,0.769599974155426,0.8323345184326172,0.17056654393672943
0,0.0010000000474974513,155,0.8061561584472656,0.14545831084251404,,,
1,,311,,,0.7639999985694885,0.8221890330314636,0.18119347095489502
1,0.0010000000474974513,311,0.7651122212409973,0.17016366124153137,,,
2,,467,,,0.8167999982833862,0.9008310437202454,0.1336773931980133
2,0.0010000000474974513,467,0.7955553531646729,0.14543737471103668,,,
3,,623,,,0.7888000011444092,0.8736532926559448,0.14432954788208008
3,0.0010000000474974513,623,0.8090001940727234,0.14040333032608032,,,
4,,779,,,0.8384000062942505,0.9118306636810303,0.11699385941028595
4,0.0010000000474974513,779,0.8048774003982544,0.141275092959404,,,
5,,935,,,0.8895999789237976,0.9503253102302551,0.08486094325780869
5,0.0010000000474974513,935,0.8300625681877136,0.1254546195268631,,,
6,,1091,,,0.9175999760627747,0.9756107330322266,0.06482646614313126
6,0.0010000000474974513,1091,0.8624009490013123,0.1081930547952652,,,
7,,1247,,,0.9111999869346619,0.9687968492507935,0.07197409123182297
7,0.0010000000474974513,1247,0.8641958236694336,0.10759618878364563,,,
8,,1403,,,0.9359999895095825,0.9780275225639343,0.05648120120167732
8,0.0010000000474974513,1403,0.878890335559845,0.09364026039838791,,,
9,,1559,,,0.9535999894142151,0.9919478893280029,0.04429039731621742
9,0.0010000000474974513,1559,0.9144787788391113,0.07437153160572052,,,
10,,1715,,,0.9368000030517578,0.9720927476882935,0.05923588201403618
10,0.0010000000474974513,1715,0.9170393347740173,0.07663500308990479,,,
11,,1871,,,0.9376000165939331,0.9752792119979858,0.05342962220311165
11,0.0010000000474974513,1871,0.9349859952926636,0.06269029527902603,,,
12,,2027,,,0.9488000273704529,0.9903788566589355,0.044425856322050095
12,0.0010000000474974513,2027,0.9402872920036316,0.05662556737661362,,,
13,,2183,,,0.9656000137329102,0.9954372644424438,0.03139417618513107
13,0.0010000000474974513,2183,0.9485145211219788,0.05037964507937431,,,
14,,2339,,,0.9552000164985657,0.9936729669570923,0.03642382100224495
14,0.0010000000474974513,2339,0.9554537534713745,0.04529479518532753,,,
15,,2495,,,0.9631999731063843,0.9930222034454346,0.030384676530957222
15,0.0010000000474974513,2495,0.9583921432495117,0.04490559548139572,,,
16,,2651,,,0.9592000246047974,0.988771915435791,0.03548067808151245
16,0.0010000000474974513,2651,0.9536105394363403,0.04734956845641136,,,
17,,2807,,,0.9807999730110168,0.9993369579315186,0.016437150537967682
17,0.0010000000474974513,2807,0.9542393088340759,0.0450621135532856,,,
18,,2963,,,0.984000027179718,0.9993830323219299,0.016938569024205208
18,0.0010000000474974513,2963,0.9699687361717224,0.03514624387025833,,,
19,,3119,,,0.9664000272750854,0.9924752116203308,0.03150955215096474
19,0.0010000000474974513,3119,0.9548593163490295,0.04299619421362877,,,
20,,3275,,,0.9760000109672546,0.9938404560089111,0.02527480199933052
20,0.0010000000474974513,3275,0.9731855392456055,0.03121260181069374,,,
21,,3431,,,0.9703999757766724,0.988039493560791,0.03248381242156029
21,0.0010000000474974513,3431,0.968096911907196,0.036950647830963135,,,
22,,3587,,,0.9768000245094299,0.9976792931556702,0.01901291124522686
22,0.0005000000237487257,3587,0.9704672694206238,0.02972213737666607,,,
