epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_loss
0,,311,,,0.8751999735832214,0.9525063037872314,0.1109926849603653
0,0.0010000000474974513,311,0.7464944124221802,0.6001227498054504,,,
1,,623,,,0.9007999897003174,0.9667525291442871,0.09616401046514511
1,0.0010000000474974513,623,0.8535656929016113,0.12488273531198502,,,
2,,935,,,0.9419999718666077,0.9909353256225586,0.0673087015748024
2,0.0010000000474974513,935,0.9138621687889099,0.09439627081155777,,,
3,,1247,,,0.9588000178337097,0.9953257441520691,0.05572748929262161
3,0.0010000000474974513,1247,0.9455128312110901,0.07732818275690079,,,
4,,1559,,,0.9656000137329102,0.9962632656097412,0.04764328524470329
4,0.0010000000474974513,1559,0.9595352411270142,0.06497406214475632,,,
5,,1871,,,0.9807999730110168,0.9986932277679443,0.037629179656505585
5,0.0010000000474974513,1871,0.9780648946762085,0.04723009094595909,,,
6,,2183,,,0.9876000285148621,0.9993823170661926,0.030733371153473854
6,0.0010000000474974513,2183,0.9818710088729858,0.04172041267156601,,,
7,,2495,,,0.9879999756813049,0.9993265867233276,0.026825012639164925
7,0.0010000000474974513,2495,0.9865785241127014,0.036278579384088516,,,
8,,2807,,,0.984000027179718,0.9995659589767456,0.02244206704199314
8,0.0010000000474974513,2807,0.9875801205635071,0.03189907222986221,,,
9,,3119,,,0.9824000000953674,0.9987558126449585,0.023378955200314522
9,0.0010000000474974513,3119,0.9902844429016113,0.025890111923217773,,,
10,,3431,,,0.9887999892234802,0.9991269111633301,0.020426683127880096
10,0.0010000000474974513,3431,0.9939903616905212,0.020551485940814018,,,
11,,3743,,,0.9732000231742859,0.998852014541626,0.025893427431583405
11,0.0010000000474974513,3743,0.9961938858032227,0.01786212809383869,,,
12,,4055,,,0.9768000245094299,0.9989763498306274,0.026063568890094757
12,0.0010000000474974513,4055,0.9906851053237915,0.0221903957426548,,,
13,,4367,,,0.9787999987602234,0.9986073970794678,0.022946292534470558
13,0.0010000000474974513,4367,0.9918870329856873,0.02043171413242817,,,
14,,4679,,,0.9860000014305115,0.9989001154899597,0.02014746516942978
14,0.0010000000474974513,4679,0.9917868375778198,0.01907307282090187,,,
15,,4991,,,0.9860000014305115,0.9995825886726379,0.01607518643140793
15,0.0010000000474974513,4991,0.9943910241127014,0.01583680510520935,,,
16,,5303,,,0.9800000190734863,0.9992753267288208,0.016641680151224136
16,0.0010000000474974513,5303,0.9954928159713745,0.012109322473406792,,,
17,,5615,,,0.9775999784469604,0.9998680353164673,0.01834709756076336
17,0.0010000000474974513,5615,0.9933894276618958,0.014272160828113556,,,
18,,5927,,,0.9828000068664551,0.9991496801376343,0.015142741613090038
18,0.0010000000474974513,5927,0.9959936141967773,0.011957764625549316,,,
19,,6239,,,0.984000027179718,0.9987521171569824,0.01657719537615776
19,0.0010000000474974513,6239,0.9950921535491943,0.011798894964158535,,,
20,,6551,,,0.9715999960899353,0.9964622855186462,0.02330099605023861
20,0.0010000000474974513,6551,0.996995210647583,0.009894520975649357,,,
21,,6863,,,0.972000002861023,0.9958034753799438,0.024288704618811607
21,0.0010000000474974513,6863,0.9943910241127014,0.012283803895115852,,,
22,,7175,,,0.9739999771118164,0.9992952942848206,0.01969090662896633
22,0.0010000000474974513,7175,0.9949919581413269,0.01165285985916853,,,
23,,7487,,,0.9836000204086304,1.0,0.012332228012382984
23,0.0005000000237487257,7487,0.9958934187889099,0.007962177507579327,,,
24,,7799,,,0.9684000015258789,0.9995430111885071,0.019811807200312614
24,0.0005000000237487257,7799,0.9976963400840759,0.004618973471224308,,,
25,,8111,,,0.9800000190734863,0.9995197057723999,0.01386839710175991
25,0.0005000000237487257,8111,0.9968950152397156,0.004829824902117252,,,
26,,8423,,,0.9843999743461609,0.9999142289161682,0.010837206616997719
26,0.0005000000237487257,8423,0.9994992017745972,0.0032205479219555855,,,
27,,8735,,,0.9836000204086304,0.9997631311416626,0.013364111073315144
27,0.0005000000237487257,8735,0.9981971383094788,0.003663805080577731,,,
28,,9047,,,0.9768000245094299,0.9986888766288757,0.018229905515909195
28,0.0005000000237487257,9047,0.9993990659713745,0.0026650901418179274,,,
29,,9359,,,0.974399983882904,0.9973587989807129,0.021681273356080055
29,0.0005000000237487257,9359,0.9979968070983887,0.0042000883258879185,,,
