epoch,lr,step,train_loss,train_triplet_violation,val_loss,val_triplet_violation
0,,311,,,0.7779592871665955,0.9841772317886353
0,0.0010000000474974513,311,0.7374946475028992,0.9867788553237915,,
1,,623,,,0.5245293378829956,0.9113923907279968
1,0.0010000000474974513,623,0.6701732277870178,0.9751602411270142,,
2,,935,,,0.39184272289276123,0.8101266026496887
2,0.0010000000474974513,935,0.45362746715545654,0.8693910241127014,,
3,,1247,,,0.31440576910972595,0.6091772317886353
3,0.0010000000474974513,1247,0.33375370502471924,0.7047275900840759,,
4,,1559,,,0.19725418090820312,0.5039557218551636
4,0.0010000000474974513,1559,0.17846551537513733,0.46774840354919434,,
5,,1871,,,0.2704179286956787,0.5142405033111572
5,0.0010000000474974513,1871,0.13314159214496613,0.3852163553237915,,
6,,2183,,,0.27601897716522217,0.579905092716217
6,0.0010000000474974513,2183,0.09026586264371872,0.30288460850715637,,
7,,2495,,,0.39081695675849915,0.8441455960273743
7,0.0010000000474974513,2495,0.044485412538051605,0.1824919879436493,,
8,,2807,,,0.318285197019577,0.594936728477478
8,0.0010000000474974513,2807,0.021498193964362144,0.10196314007043839,,
9,,3119,,,0.3184542655944824,0.6740506291389465
9,0.0005000000237487257,3119,0.004771150182932615,0.032652243971824646,,
